ds,n,nl,clf,KFolds,TRE_mean,TRE_std,TESTE_mean,TESTE_std,E_DIFF,Regularization
Moon,1000,0.3,svm,5,0.9149999999999998,0.0022360679774997916,0.906,0.006633249580710806,-0.008999999999999786,10.0
Moon,1000,0.3,svm,5,0.93775,0.0038242646351945722,0.892,0.009273618495495713,-0.04574999999999996,100.0
Moon,1000,0.3,svm,5,0.99375,0.002371708245126269,0.742,0.018055470085267804,-0.25175000000000003,1000.0
Moon,1000,0.4,svm,5,0.82075,0.0045138675213169605,0.818,0.02227105745132006,-0.00275000000000003,0.001
Moon,1000,0.4,svm,5,0.8465,0.005086747487343976,0.8460000000000001,0.018814887722226795,-0.0004999999999999449,0.005
Moon,1000,0.4,svm,5,0.84825,0.005037360419902444,0.8469999999999999,0.024207436873820428,-0.0012500000000000844,0.01
Moon,1000,0.4,svm,5,0.85225,0.006244997998398415,0.849,0.014282856857085711,-0.003249999999999975,0.1
Moon,1000,0.4,svm,5,0.8664999999999999,0.004358898943540662,0.8619999999999999,0.017204650534085267,-0.0045000000000000595,0.5
Moon,1000,0.4,svm,5,0.86775,0.004962358310319805,0.8620000000000001,0.015362291495737231,-0.005749999999999922,1.0
Moon,1000,0.4,svm,5,0.8772500000000001,0.006294839156007081,0.8629999999999999,0.014352700094407337,-0.014250000000000207,5.0
Moon,1000,0.4,svm,5,0.8845000000000001,0.006354132513569389,0.861,0.014282856857085711,-0.023500000000000076,10.0
Moon,1000,0.4,svm,5,0.922,0.005037360419902492,0.8470000000000001,0.01363818169698587,-0.07499999999999996,100.0
Moon,1000,0.4,svm,5,0.9935,0.0012247448713916037,0.7209999999999999,0.012806248474865708,-0.2725000000000002,1000.0
Moon,1000,0.5,svm,5,0.7965000000000001,0.0052081666639999325,0.793,0.01749285568453588,-0.0035000000000000586,0.001
Moon,1000,0.5,svm,5,0.81175,0.00465026880943455,0.813,0.018055470085267752,0.0012499999999999734,0.005
Moon,1000,0.5,svm,5,0.8147500000000001,0.004430011286667327,0.8139999999999998,0.017435595774162656,-0.0007500000000002505,0.01
Moon,1000,0.5,svm,5,0.82025,0.0022912878474779246,0.8219999999999998,0.006000000000000005,0.0017499999999998073,0.1
Moon,1000,0.5,svm,5,0.8295,0.0037583240945932243,0.827,0.010295630140987009,-0.0025000000000000577,0.5
Moon,1000,0.5,svm,5,0.8357500000000002,0.0020310096011589905,0.8300000000000001,0.007071067811865481,-0.005750000000000144,1.0
Moon,1000,0.5,svm,5,0.8435,0.003201562118716417,0.8290000000000001,0.008000000000000007,-0.014499999999999957,5.0
Moon,1000,0.5,svm,5,0.8472500000000001,0.003984344362627304,0.828,0.00509901951359279,-0.0192500000000001,10.0
Moon,1000,0.5,svm,5,0.91075,0.002318404623873927,0.7849999999999999,0.019999999999999987,-0.12575000000000003,100.0
Moon,1000,0.5,svm,5,0.99075,0.002318404623873922,0.6260000000000001,0.052287665849605466,-0.3647499999999999,1000.0
Moon,10000,0.0,svm,5,0.8583000000000001,0.002193171219946132,0.8576,0.009350935782048776,-0.0007000000000000339,0.001
Moon,10000,0.0,svm,5,0.8753,0.002028854356527366,0.875,0.008723531395025746,-0.00029999999999996696,0.005
Moon,10000,0.0,svm,5,0.879675,0.0021163057435068526,0.8792,0.008891569040388759,-0.0004750000000000032,0.01
Moon,10000,0.0,svm,5,1.0,0.0,0.9999,0.00019999999999997797,-9.999999999998899e-05,0.1
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,0.5
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,1.0
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,5.0
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,10.0
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,100.0
Moon,10000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,1000.0
